trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1242,False,"{'a': 0.001, 'e': 0.28880602788595566}",30,13,12.263357249370877,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
1243,False,"{'a': 0.001, 'e': 0.2885173662129613}",25,13,-23.071207605483952,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
1244,False,"{'a': 0.001, 'e': 0.2882289930573573}",20,0,-37.62302759229615,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
1245,False,"{'a': 0.001, 'e': 0.2879409081307702}",25,4,26.82851273433906,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
1246,False,"{'a': 0.001, 'e': 0.2876531111451154}",20,11,18.401098914719377,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1247,False,"{'a': 0.001, 'e': 0.28736560181259563}",35,17,20.77303045450879,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
1248,False,"{'a': 0.001, 'e': 0.28707837984570167}",20,14,-3.174802760814849,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
1249,False,"{'a': 0.001, 'e': 0.2867914449572114}",25,2,24.385413071528077,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
1250,False,"{'a': 0.001, 'e': 0.2865047968601901}",20,6,-27.939242530064067,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
1251,False,"{'a': 0.001, 'e': 0.28621843526798946}",20,0,15.882727009607814,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
1252,False,"{'a': 0.001, 'e': 0.285932359894248}",25,0,7.9768341548428605,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
1253,False,"{'a': 0.001, 'e': 0.28564657045289016}",20,0,14.997329432500468,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
1254,False,"{'a': 0.001, 'e': 0.28536106665812666}",20,0,-37.25177815468739,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
1255,False,"{'a': 0.001, 'e': 0.28507584822445353}",35,21,-36.51615690483592,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
1256,False,"{'a': 0.001, 'e': 0.2847909148666525}",30,0,12.142276002935734,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
1257,False,"{'a': 0.001, 'e': 0.2845062662997899}",25,0,3.1761287081454905,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
1258,False,"{'a': 0.001, 'e': 0.28422190223921745}",30,22,13.799166132605574,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1259,False,"{'a': 0.001, 'e': 0.28393782240057086}",25,13,8.562086463410456,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
1260,False,"{'a': 0.001, 'e': 0.2836540264997704}",20,5,-20.609498159597816,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
1261,False,"{'a': 0.001, 'e': 0.28337051425301996}",20,13,11.892968322167748,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1262,False,"{'a': 0.001, 'e': 0.2830872853768075}",30,16,24.132378311321126,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1263,False,"{'a': 0.001, 'e': 0.2828043395879039}",20,1,-31.267280183958434,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 0}",1
1264,False,"{'a': 0.001, 'e': 0.2825216766033636}",25,10,-44.92917174962716,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
1265,False,"{'a': 0.001, 'e': 0.2822392961405233}",35,24,17.37184195877056,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1266,False,"{'a': 0.001, 'e': 0.28195719791700274}",20,0,-27.44828535254958,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
1267,False,"{'a': 0.001, 'e': 0.28167538165070355}",20,10,-11.181989549576397,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
1268,False,"{'a': 0.001, 'e': 0.2813938470598095}",20,0,20.748254825064482,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
1269,False,"{'a': 0.001, 'e': 0.281112593862786}",20,0,9.342369363408642,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
1270,False,"{'a': 0.001, 'e': 0.2808316217783798}",20,1,-1.5403858433546744,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
1271,False,"{'a': 0.001, 'e': 0.2805509305256187}",20,10,21.13105558009096,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1272,False,"{'a': 0.001, 'e': 0.28027051982381157}",25,11,15.642509111774835,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1273,False,"{'a': 0.001, 'e': 0.27999038939254756}",20,0,-49.315709175248315,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
1274,False,"{'a': 0.001, 'e': 0.27971053895169634}",25,0,18.134108688228856,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
1275,False,"{'a': 0.001, 'e': 0.2794309682214073}",20,9,-23.562771832267554,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
1276,False,"{'a': 0.001, 'e': 0.27915167692210985}",25,0,4.936444790585638,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",1
1277,False,"{'a': 0.001, 'e': 0.2788726647745125}",35,10,-25.72616213785617,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",1
1278,False,"{'a': 0.001, 'e': 0.27859393149960326}",25,0,5.0727731634684705,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
1279,False,"{'a': 0.001, 'e': 0.27831547681864865}",20,3,19.503615810691876,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
1280,False,"{'a': 0.001, 'e': 0.27803730045319414}",20,0,-29.084230464672377,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
1281,False,"{'a': 0.001, 'e': 0.2777594021250632}",30,13,-2.349961083516181,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
1282,False,"{'a': 0.001, 'e': 0.2774817815563575}",25,7,-21.140848209995315,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
1283,False,"{'a': 0.001, 'e': 0.2772044384694566}",25,17,-66.44980780283933,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 2}",1
1284,False,"{'a': 0.001, 'e': 0.2769273725870171}",20,2,-12.87747352026341,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
1285,False,"{'a': 0.001, 'e': 0.2766505836319734}",20,0,-22.20504521814978,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
1286,False,"{'a': 0.001, 'e': 0.27637407132753633}",20,12,1.5649943866522293,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1287,False,"{'a': 0.001, 'e': 0.2760978353971936}",30,8,-24.411057517322213,"{0: 19, 1: 0, 2: 0, 3: 3, 4: 0}",1
1288,False,"{'a': 0.001, 'e': 0.27582187556470933}",20,14,7.4267815379966695,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1289,False,"{'a': 0.001, 'e': 0.2755461915541236}",20,12,8.204174921009681,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
