trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
87,False,"{'a': 0.9166770956331523, 'e': 0.418951549247639}",20,0,14.447156538974461,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
88,False,"{'a': 0.9157608767233256, 'e': 0.4147829116815814}",20,6,-31.117859743370133,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
89,False,"{'a': 0.9148455735744521, 'e': 0.4106557527523455}",20,2,1.9078385307442396,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
90,False,"{'a': 0.9139311852712282, 'e': 0.4065696597405991}",20,0,-2.3742990326786675,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
91,False,"{'a': 0.9130177108992658, 'e': 0.40252422403363597}",30,20,-9.320351257274215,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
92,False,"{'a': 0.9121051495450904, 'e': 0.3985190410845142}",30,23,10.900477229651868,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.9111935002961405, 'e': 0.39455371037160114}",20,0,-83.60363655692069,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
94,False,"{'a': 0.910282762240767, 'e': 0.3906278353585211}",20,0,11.185831021066432,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
95,False,"{'a': 0.9093729344682314, 'e': 0.3867410234545012}",25,0,-72.86110648420504,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
96,False,"{'a': 0.9084640160687062, 'e': 0.38289288597511206}",20,6,15.260487588711522,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.9075560061332727, 'e': 0.37908303810339883}",20,0,-39.65791820204849,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
98,False,"{'a': 0.9066489037539209, 'e': 0.37531109885139957}",20,14,-71.5702659318479,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 2}",1
99,False,"{'a': 0.9057427080235485, 'e': 0.3715766910220457}",30,0,-76.16871405355361,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
100,False,"{'a': 0.9048374180359595, 'e': 0.36787944117144233}",25,5,6.182882648239709,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
101,False,"{'a': 0.9039330328858641, 'e': 0.3642189795715233}",30,22,14.182351782777388,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.9030295516688768, 'e': 0.3605949401730783}",30,0,-81.07732649444915,"{0: 23, 1: 1, 2: 3, 3: 2, 4: 1}",0
103,False,"{'a': 0.9021269734815165, 'e': 0.3570069605691474}",25,14,-6.945591177781385,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.9012252974212048, 'e': 0.35345468195878016}",25,0,-20.599027580941105,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
105,False,"{'a': 0.9003245225862656, 'e': 0.3499377491111554}",25,16,0.194407988505076,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.899424648075924, 'e': 0.34645581033005746}",35,21,8.96452083178565,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.8985256729903055, 'e': 0.3430085174187067}",20,14,-1.4347461226201692,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.8976275964304349, 'e': 0.33959552564493917}",35,12,13.736984522428084,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.8967304174982355, 'e': 0.33621649370673334}",25,0,-51.14400218908578,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
110,False,"{'a': 0.8958341352965282, 'e': 0.33287108369807955}",30,16,-16.831513107985884,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 0}",1
111,False,"{'a': 0.894938748929031, 'e': 0.32955896107518906}",30,3,-67.39488025079704,"{0: 21, 1: 0, 2: 5, 3: 0, 4: 1}",1
112,False,"{'a': 0.8940442575003572, 'e': 0.32627979462303947}",25,3,15.594723324760423,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.8931506601160155, 'e': 0.3230332564222529}",20,11,-1.3254758145064096,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.8922579558824083, 'e': 0.3198190218163039}",30,0,-40.46237532056794,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",1
115,False,"{'a': 0.8913661439068313, 'e': 0.3166367693790532}",30,0,35.6288074540973,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
116,False,"{'a': 0.8904752232974726, 'e': 0.3134861808826053}",30,0,-1.1083157994388115,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
117,False,"{'a': 0.8895851931634113, 'e': 0.31036694126548503}",20,0,20.65053929727016,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.8886960526146174, 'e': 0.30727873860113125}",30,0,26.937239571860378,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
119,False,"{'a': 0.8878078007619501, 'e': 0.3042212640667041}",25,10,-18.190643334719006,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
120,False,"{'a': 0.8869204367171575, 'e': 0.30119421191220214}",20,3,27.756413676333132,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.8860339595928756, 'e': 0.2981972794298874}",25,14,6.990322005982037,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.8851483685026271, 'e': 0.2952301669240142}",25,17,18.49149974110088,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.8842636625608209, 'e': 0.2922925776808594}",20,11,-54.400167249733784,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 1}",1
124,False,"{'a': 0.8833798408827509, 'e': 0.28938421793905067}",20,3,20.890332164164874,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.8824969025845955, 'e': 0.2865047968601901}",25,0,18.431660249979842,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
126,False,"{'a': 0.8816148467834161, 'e': 0.2836540264997704}",25,0,-53.530315543868724,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",1
127,False,"{'a': 0.880733672597157, 'e': 0.2808316217783798}",20,0,8.477013463017597,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
128,False,"{'a': 0.8798533791446438, 'e': 0.27803730045319414}",30,8,-10.165573179487307,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",1
129,False,"{'a': 0.8789739655455832, 'e': 0.27527078308975234}",35,2,-31.924529703301726,"{0: 29, 1: 0, 2: 1, 3: 3, 4: 0}",1
